"filename", "language", "JavaScript", "XML", "JavaScript React", "CSS", "JSON", "comment", "blank", "total"
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/App.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/App.js", "JavaScript", 90, 0, 0, 0, 0, 1, 7, 98
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 9
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/RouteGuard.js", "JavaScript", 25, 0, 0, 0, 0, 1, 5, 31
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/add-doctor-component/add-doctor-component.css", "CSS", 0, 0, 0, 47, 0, 1, 5, 53
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/add-doctor-component/add-doctor-component.jsx", "JavaScript React", 0, 0, 130, 0, 0, 8, 5, 143
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/add-patient-component/add-patient-component.css", "CSS", 0, 0, 0, 47, 0, 1, 5, 53
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/add-patient-component/add-patient-component.jsx", "JavaScript React", 0, 0, 122, 0, 0, 7, 5, 134
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/admin-login/admin-login.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/admin-login/admin-login.jsx", "JavaScript React", 0, 0, 64, 0, 0, 0, 5, 69
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/assessment-form/assessment-form.css", "CSS", 0, 0, 0, 69, 0, 1, 11, 81
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/assessment-form/assessment-form.jsx", "JavaScript React", 0, 0, 45, 0, 0, 0, 3, 48
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/boolean-radio-group/boolean-radio-group.jsx", "JavaScript React", 0, 0, 47, 0, 0, 0, 3, 50
"/Users/brijeshlakkad/Documents/Concordia Code/Fall 2022/SOEN 6841 Software Project Management/Projects/medical-assistance-web/src/components/box/box.jsx", "JavaScript React", 0, 0, 112, 0, 0, 21, 3, 136
